id	Airline	A_ICAO	Time	InitialDate	FinalDate
233806	DLH	EDDF	590	10	31
233807	DLH	EDDF	1095	2	31
233808	DLH	EDDF	655	2	31
233809	DLH	EDDF	1335	2	31
233812	SAS	EDDF	845	2	31
233813	RYR	EDDF	490	2	31
233814	DLH	EDDF	560	2	31
233815	DLH	EDDF	1040	2	31
233816	DLH	EDDF	925	2	27
233821	RYR	EDDF	620	2	31
233822	SWR	EDDF	1330	2	31
233823	KLM	EDDF	780	2	31
233825	AEA	EDDF	815	2	31
233826	DLH	EDDF	1155	2	31
233830	DLH	EDDF	555	2	29
233832	AEE	EDDF	1315	2	31
233834	DLH	EDDF	1190	2	31
233835	DLH	EDDF	955	2	31
233836	DLH	EDDF	1280	2	31
233840	DLH	EDDF	1090	2	31
233842	DLH	EDDF	830	18	31
233843	DLH	EDDF	860	2	31
233844	DLH	EDDF	825	2	31
233845	AEA	EDDF	1305	2	31
233846	RYR	EDDF	1115	2	31
233847	DLH	EDDF	555	2	31
233848	DLH	EDDF	795	2	31
233849	DLH	EDDF	1090	2	31
233850	DLH	EDDF	1090	2	30
233851	DLH	EDDF	965	2	31
233852	DLH	EDDF	1065	2	31
233856	SWR	EDDF	920	2	31
233860	DLH	EDDF	510	2	31
233864	DLH	EDDF	1355	25	31
233873	DLH	EDDF	1050	3	30
233875	DLH	EDDF	650	2	31
233876	DLH	EDDF	965	2	31
233877	DLH	EDDF	815	2	31
233879	DLH	EDDF	470	2	31
233880	DLH	EDDF	435	2	31
233881	DLA	EDDF	840	2	11
233887	DLH	EDDF	1115	18	31
233891	DLH	EDDF	810	2	31
233894	DLH	EDDF	1045	12	31
